Name MC MP
"Bitcoin (Биткоин)BTC" ₽5,9...49.70 N/A
"Ethereum (Эфириум)ETH" ₽306,630.28 81.64%
"Tether (Тезер)USDT" ₽87.85 0.02%
BNBBNB ₽52,308.40 13.93%
"Solana (Солана)SOL" ₽15,738.53 4.19%
USDCUSDC ₽87.84 0.02%
XRPXRP ₽52.98 0.01%
"Dogecoin (Догекоин)DOGE" ₽12.09 0.00%
"Toncoin (Тонкоин)TON" ₽619.61 0.16%
"Cardano (Кардано)ADA" ₽38.26 0.01%
AvalancheAVAX $32.15 N/A
TRONTRX $0.14 N/A
"Shiba InuSHIB" $0.00 N/A
PolkadotDOT $6.26 N/A
ChainlinkLINK $14.27 N/A
"Bitcoin CashBCH" $388.83 N/A
"NEAR ProtocolNEAR" $6.15 N/A
LitecoinLTC $73.89 N/A
PolygonMATIC $0.54 N/A
DaiDAI $1.00 N/A
"UNUS SED LEOLEO" $5.77 N/A
PepePEPE $0.00 N/A
"Internet ComputerICP" $10.39 N/A
UniswapUNI $7.95 N/A
KaspaKAS $0.17 N/A
"Artificial Superintelligence AllianceFET" $1.42 N/A
"Ethereum ClassicETC" $23.49 N/A
AptosAPT $7.36 N/A
StellarXLM $0.10 N/A
MoneroXMR $164.99 N/A
MantleMNT $0.87 N/A
StacksSTX $1.88 N/A
dogwifhatWIF $2.76 N/A
RenderRNDR $6.92 N/A
FilecoinFIL $4.65 N/A
MakerMKR $2831.87 N/A
ArbitrumARB $0.78 N/A
HederaHBAR $0.07 N/A
InjectiveINJ $27.19 N/A
CronosCRO $0.09 N/A
OKBOKB $41.73 N/A
CosmosATOM $6.40 N/A
ImmutableIMX $1.60 N/A
VeChainVET $0.03 N/A
BittensorTAO $334.71 N/A
OptimismOP $1.94 N/A
BonkBONK $0.00 N/A
SuiSUI $0.84 N/A
ArweaveAR $32.07 N/A
"The GraphGRT" $0.21 N/A
"First Digital USDFDUSD" $1.00 N/A
FLOKIFLOKI $0.00 N/A
"Lido DAOLDO" $1.84 N/A
"Bitget TokenBGB" $1.16 N/A
THORChainRUNE $4.77 N/A
NotcoinNOT $0.02 N/A
"Theta NetworkTHETA" $1.57 N/A
OndoONDO $1.05 N/A
FantomFTM $0.52 N/A
JasmyCoinJASMY $0.03 N/A
CoreCORE $1.61 N/A
CelestiaTIA $7.23 N/A
AaveAAVE $95.29 N/A
"Brett (Based)BRETT" $0.14 N/A
JupiterJUP $1.03 N/A
"Pyth NetworkPYTH" $0.36 N/A
AlgorandALGO $0.15 N/A
SeiSEI $0.39 N/A
MANTRAOM $1.33 N/A
MultiversXEGLD $37.04 N/A
FlowFLOW $0.63 N/A
BeamBEAM $0.02 N/A
"KuCoin TokenKCS" $9.86 N/A
"Axie InfinityAXS" $6.20 N/A
"Bitcoin SVBSV" $45.85 N/A
QuantQNT $74.18 N/A
EOSEOS $0.59 N/A
"Akash NetworkAKT" $3.57 N/A
"BitTorrent [New]BTT" $0.00 N/A
"Ethereum Name ServiceENS" $26.16 N/A
"dYdX (Native)DYDX" $1.42 N/A
StarknetSTRK $0.59 N/A
ORDIORDI $40.74 N/A
FlareFLR $0.02 N/A
GalaGALA $0.03 N/A
NeoNEO $11.63 N/A
"Mog CoinMOG" $0.00 N/A
HeliumHNT $5.01 N/A
EthenaENA $0.46 N/A
TezosXTZ $0.79 N/A
RoninRON $2.30 N/A
"The SandboxSAND" $0.34 N/A
USDDUSDD $1.00 N/A
GateTokenGT $7.84 N/A
ConfluxCFX $0.17 N/A
NexoNEXO $1.27 N/A
eCashXEC $0.00 N/A
zkSyncZK $0.19 N/A
WorldcoinWLD $2.43 N/A
"cat in a dogs worldMEW" $0.01 N/A
